epoch,acc,loss,norm_gini,norm_gini_val,roc_auc,roc_auc_val,val_acc,val_loss
0,0.670418430547,0.658098222228,0.0471937679112,0.0471937679112,0.523596883956,0.523596883956,0.961788660742,0.548751575715
1,0.908978901899,0.45116651826,-0.0181035552606,-0.0181035552606,0.49094822237,0.49094822237,0.963552748849,0.350959772639
2,0.951970327415,0.289872492565,0.0290573822134,0.0290573822134,0.514528691107,0.514528691107,0.963552747064,0.22749113721
3,0.959777625651,0.207125468573,0.12985609577,0.12985609577,0.564928047885,0.564928047885,0.963552742088,0.177953230596
4,0.96229772898,0.175328807777,0.209204126723,0.209204126723,0.604602063362,0.604602063362,0.963552751012,0.161204041042
5,0.963067203139,0.16426671265,0.23365565924,0.23365565924,0.61682782962,0.61682782962,0.963552744576,0.155638299653
6,0.96328729149,0.160139170856,0.241956119959,0.241956119959,0.620978059979,0.620978059979,0.963552752608,0.154231479737
7,0.963438504495,0.157882818795,0.251445549292,0.251445549292,0.625722774646,0.625722774646,0.963552744576,0.153560716058
8,0.963495625272,0.156774780286,0.258767422456,0.258767422456,0.629383711228,0.629383711228,0.963552748146,0.152934570162
9,0.963500666208,0.156414338923,0.263323751579,0.263323751579,0.631661875789,0.631661875789,0.963552752418,0.152948720527
10,0.963510749451,0.155833513454,0.265115108438,0.265115108438,0.632557554219,0.632557554219,0.963552754203,0.152811148448
11,0.963517467362,0.155521847436,0.249417511289,0.249417511289,0.624708755644,0.624708755644,0.963552746361,0.154440293103
12,0.963525865917,0.154995313407,0.268517928243,0.268517928243,0.634258964122,0.634258964122,0.963552747253,0.152913071563
13,0.963539295498,0.154706238016,0.270891771804,0.270891771804,0.635445885902,0.635445885902,0.963552742791,0.152865650183
14,0.963544348828,0.154578492571,0.273068393551,0.273068393551,0.636534196775,0.636534196775,0.963552753311,0.152442807354
15,0.963532587716,0.155187218331,0.273985240533,0.273985240533,0.636992620266,0.636992620266,0.963552744386,0.152905863698
16,0.963530901977,0.15453552541,0.275153119924,0.275153119924,0.637576559962,0.637576559962,0.963552754203,0.152764858939
17,0.963542667112,0.154412978583,0.276807074934,0.276807074934,0.638403537467,0.638403537467,0.963552749741,0.152707131021
18,0.963547699468,0.154100155928,0.278222844368,0.278222844368,0.639111422184,0.639111422184,0.963552747253,0.152602406482
19,0.963542657662,0.154148028757,0.27910977558,0.27910977558,0.63955488779,0.63955488779,0.96355274298,0.152475195992
20,0.963534265137,0.154195846721,0.275751142838,0.275751142838,0.637875571419,0.637875571419,0.963552745279,0.154047659236
21,0.963539306271,0.154104269514,0.271924415816,0.271924415816,0.635962207908,0.635962207908,0.96355274655,0.155210537887
22,0.963547707566,0.154008343916,0.279505256109,0.279505256109,0.639752628055,0.639752628055,0.963552751012,0.152601548494
23,0.963547707276,0.153680978434,0.281660476944,0.281660476944,0.640830238472,0.640830238472,0.963552747253,0.152497054939
24,0.963530897974,0.15395330638,0.280661931825,0.280661931825,0.640330965913,0.640330965913,0.963552752418,0.152974821925
25,0.963542666214,0.153541202117,0.283431187036,0.283431187036,0.641715593518,0.641715593518,0.963552745658,0.152232594514
26,0.963549391394,0.153576310355,0.284401005271,0.284401005271,0.642200502635,0.642200502635,0.963552751905,0.152164749742
27,0.963539303114,0.153534992798,0.285484778372,0.285484778372,0.642742389186,0.642742389186,0.963552745468,0.152443278412
